"field_0";"date";"open";"high";"low";"close";"volume";"market_cap";"unit_volume";"rolling20_d";"date_2";"bitfinex_shorts";"bitfinex_longs";"bitfinex_volume";"total__crypto__cap";"bitcoin_dominance"
244;1990;6542.33;6567.54;6450.04;6476.71;3924080000;112000000000.0;605.875;614.89;"1990";35682.5;21804.8;15665.0;208000000000.0;53.9
243;1989;6478.07;6493.68;6445.31;6465.41;3578870000;112000000000.0;553.541;609.519;"1989";33815.6;20112.5;8882.0;208000000000.0;53.81
242;1988;6460.92;6497.72;6449.0;6489.19;3379130000;112000000000.0;520.732;605.352;"1988";33309.2;20139.4;11239.0;210000000000.0;53.64
241;1987;6490.09;6556.38;6476.0;6482.35;3253610000;112000000000.0;501.918;600.09;"1987";32299.2;20201.2;4648.0;210000000000.0;53.63
240;1986;6486.05;6543.8;6462.98;6487.16;3672860000;112000000000.0;566.174;598.051;"1986";32338.0;20637.2;4420.0;209000000000.0;53.7
239;1985;6472.36;6506.01;6451.27;6475.74;3716150000;112000000000.0;573.857;596.853;"1985";30402.8;21083.8;6073.0;210000000000.0;53.52
238;1984;6478.89;6521.99;6468.86;6495.84;3424670000;113000000000.0;527.21;594.032;"1984";30603.4;22788.6;8864.0;210000000000.0;53.66
237;1983;6484.65;6504.65;6447.03;6476.29;3230550000;112000000000.0;498.827;591.253;"1983";31205.9;22129.8;8523.0;209000000000.0;53.68
236;1982;6468.44;6498.29;6449.61;6474.75;3306050000;112000000000.0;510.607;592.045;"1982";31611.7;22272.5;8712.0;209000000000.0;53.65
235;1981;6480.84;6507.41;6453.53;6480.38;3393250000;112000000000.0;523.619;593.187;"1981";31241.5;23213.3;7425.0;209000000000.0;53.81
234;1980;6482.66;6502.28;6447.91;6486.39;3445190000;113000000000.0;531.141;589.833;"1980";31163.2;23614.3;6971.0;210000000000.0;53.58
233;1979;6492.35;6503.6;6306.99;6332.63;4199910000;110000000000.0;663.217;596.041;"1979";32393.7;22424.6;6843.0;203000000000.0;54.12
232;1978;6337.04;6364.99;6310.14;6334.27;3781100000;110000000000.0;596.927;597.13;"1978";31676.5;23060.7;10740.0;203000000000.0;54.05
231;1977;6336.99;6349.16;6316.88;6317.61;4191240000;110000000000.0;663.422;588.889;"1977";30307.5;23621.5;9959.0;203000000000.0;53.91
230;2006;6318.14;6547.14;6311.83;6377.78;3789400000;111000000000.0;594.157;588.447;"2006";28902.6;23291.0;9159.0;206000000000.0;53.85
229;2005;6378.92;6396.86;6327.38;6388.44;4234870000;111000000000.0;662.896;597.22;"2005";27069.6;22775.2;8077.0;207000000000.0;53.46
228;2004;6387.24;6400.07;6342.37;6361.26;3658640000;110000000000.0;575.144;601.456;"2004";2476.59;23232.8;11440.0;207000000000.0;53.37
227;2003;6365.47;6388.63;6294.57;6376.13;4390020000;111000000000.0;688.509;580.012;"2003";22279.1;23816.5;8995.0;211000000000.0;52.58
226;2002;6363.62;6480.59;6363.62;6419.66;4174800000;111000000000.0;650.315;581.64;"2002";21728.4;24090.0;4815.0;213000000000.0;52.36
225;2001;6433.38;6463.55;6408.16;6461.01;4700040000;112000000000.0;727.447;586.777;"2001";21901.0;24270.4;7316.0;220000000000.0;51.07
224;2000;6468.5;6552.16;6468.31;6530.14;4941260000;113000000000.0;756.685;594.317;"2000";21052.2;25370.3;10727.0;219000000000.0;51.67
223;1999;6522.27;6536.92;6438.53;6453.72;4665260000;112000000000.0;722.879;602.784;"1999";20785.4;24654.4;11620.0;214000000000.0;52.33
222;1998;6442.6;6456.46;6373.37;6385.62;4346820000;111000000000.0;680.72;610.784;"1998";20709.8;24275.3;10458.0;212000000000.0;52.36
221;1997;6386.13;6437.28;6385.31;6409.22;3705320000;111000000000.0;578.123;614.594;"1997";20487.4;24510.6;3253.0;213000000000.0;52.15
220;1996;6413.63;6423.25;6350.17;6411.27;3939060000;111000000000.0;614.396;617.005;"1996";20426.0;24047.6;7343.0;213000000000.0;52.36
219;1995;6411.76;6434.21;6360.47;6371.27;4295770000;111000000000.0;674.241;622.024;"1995";20194.9;24056.4;7299.0;212000000000.0;52.23
218;1994;6373.19;6395.27;6342.67;6359.49;4503800000;110000000000.0;708.201;631.074;"1994";19973.5;24089.8;10132.0;210000000000.0;52.6
217;1993;6351.24;6371.55;5544.09;5738.35;7398940000;99712100000.0;1289.38;670.602;"1993";25716.1;25872.7;69299.0;188000000000.0;52.95
216;1992;5736.15;5774.82;5358.38;5648.03;7032140000;98151600000.0;1245.06;707.324;"1992";24945.1;26360.2;49913.0;187000000000.0;52.62
215;1991;5645.32;5657.02;5498.94;5575.55;5279320000;96900800000.0;946.87;728.487;"1991";23259.2;26601.0;18455.0;183000000000.0;52.95
214;1990;5578.58;5578.58;5519.56;5554.33;4303150000;96542100000.0;774.738;740.667;"1990";22300.8;26765.7;7999.0;183000000000.0;52.71
213;1989;5559.74;5653.61;5559.74;5623.54;4159680000;97753700000.0;739.691;744.49;"1989";23158.2;27075.5;9552.0;186000000000.0;52.55
212;1988;5620.78;5620.78;4842.91;4871.49;7039560000;84688500000.0;1445.05;786.897;"1988";23606.5;29916.1;74206.0;162000000000.0;52.43
211;1987;4863.93;4951.61;4272.11;4451.87;8428290000;77401000000.0;1893.2;848.386;"1987";31602.8;27129.9;117312.0;145000000000.0;53.48
210;1986;4465.54;4675.73;4343.98;4602.17;6120120000;80020200000.0;1329.83;885.169;"1986";30741.9;27204.9;44377.0;151000000000.0;53.14
209;1985;4611.57;4629.64;4365.64;4365.94;4569370000;75919400000.0;1046.59;904.354;"1985";28478.1;25651.7;28885.0;142000000000.0;53.41
208;1984;4360.7;4396.42;4195.68;4347.11;4871490000;75598800000.0;1120.63;931.629;"1984";27341.7;25992.8;36102.0;140000000000.0;53.96
207;1983;4347.69;4413.09;3795.16;3880.76;4679500000;67495600000.0;1205.82;957.494;"1983";32976.2;27457.8;51143.0;126000000000.0;53.49
206;1982;3880.78;4120.87;3585.06;4009.97;6825640000;69749300000.0;1702.17;1010.09;"1982";30214.1;27695.9;82180.0;129000000000.0;53.93
205;1981;4015.07;4107.14;3643.92;3779.13;6476900000;65739300000.0;1713.86;1059.41;"1981";33824.5;27147.1;64117.0;124000000000.0;52.98
204;1980;3765.95;3862.96;3661.01;3820.72;5998720000;66469000000.0;1570.05;1100.08;"1980";35216.6;29894.8;46273.0;125000000000.0;53.06
203;1979;3822.47;4385.9;3822.47;4257.42;7280280000;74072600000.0;1710.02;1149.43;"1979";33710.1;28086.8;65259.0;139000000000.0;53.32
202;1978;4269.0;4413.02;4145.77;4278.85;6503347767;74451000000.0;1519.88;1191.39;"1978";35638.1;28307.5;41125.0;138000000000.0;53.95
201;1977;4289.09;4322.98;3942.82;4017.27;6048016717;69904600000.0;1505.5;1237.76;"1977";34954.1;28886.8;42454.0;131000000000.0;53.55
200;2005;4024.46;4309.38;3969.71;4214.67;5375314093;73346200000.0;1275.38;1270.81;"2005";33994.9;27363.1;27504.0;136000000000.0;53.79
